xyz,Country,ISO3,Year,temperature
136,Niger,NER,2016,28.36495833
137,Nigeria,NGA,2016,27.79865833
138,Niue,NIU,2016,25.57915
139,NorthKorea,PRK,2016,6.680758333
140,NorthernMarianaIs.,MNP,2016,28.32954167
141,Norway,NOR,2016,2.264043333
142,Oman,OMN,2016,26.46421667
143,Pakistan,PAK,2016,21.41461667
144,Palau,PLW,2016,28.36740833
145,Panama,PAN,2016,26.1569
146,PapuaNewGuinea,PNG,2016,25.69909167
147,Paraguay,PRY,2016,23.33295833
148,Peru,PER,2016,20.36403333
149,Philippines,PHL,2016,26.47310833
150,Poland,POL,2016,9.3453175
151,Portugal,PRT,2016,15.70653333
152,PuertoRico,PRI,2016,25.96983333
153,Qatar,QAT,2016,28.58924167
154,Reunion,REU,2016,21.14578333
155,Russia,RUS,2016,-4.235253333
156,Rwanda,RWA,2016,20.33460833
157,Samoa,WSM,2016,27.87023333
158,SanMarino,SMR,2016,13.074545
159,SaoTome&amp;Principe,STP,2016,24.44491667
160,SaudiArabia,SAU,2016,26.09145
161,Senegal,SEN,2016,29.03845
162,Serbia,SRB,2016,11.57520833
163,Seychelles,SYC,2016,27.64246667
164,SierraLeone,SLE,2016,26.8843
165,Singapore,SGP,2016,28.33596667
166,Slovakia,SVK,2016,8.996635833
167,Slovenia,SVN,2016,10.12786417
168,SolomonIs.,SLB,2016,25.695625
169,Somalia,SOM,2016,27.86291667
170,SouthAfrica,ZAF,2016,19.053575
171,SouthKorea,KOR,2016,12.22090083
172,SouthSudan,SSD,2016,28.16251667
173,Spain,ESP,2016,14.28341083
174,SriLanka,LKA,2016,27.72951667
175,St.Kitts&amp;Nevis,KNA,2016,25.5479
176,St.Lucia,LCA,2016,26.76294167
177,St.Vincent&amp;theGrenadines,VCT,2016,27.77748333
178,Sudan,SDN,2016,28.39174167
179,Suriname,SUR,2016,26.40260833
180,Swaziland,SWZ,2016,21.25796667
181,Sweden,SWE,2016,2.934866667
182,Switzerland,CHE,2016,7.13572
183,Syria,SYR,2016,19.095795
184,Tajikistan,TJK,2016,4.7774325
185,Tanzania,TZA,2016,23.240325
186,Thailand,THA,2016,27.38571667
187,TheBahamas,BHS,2016,25.84316667
188,TheGambia,GMB,2016,28.37041667
189,TimorLeste,TLS,2016,26.43416667
190,Togo,TGO,2016,27.98683333
191,Tonga,TON,2016,25.43589167
192,Trinidad&amp;Tobago,TTO,2016,26.97295833
193,Tunisia,TUN,2016,21.03623333
194,Turkey,TUR,2016,12.26453833
195,Turkmenistan,TKM,2016,16.653545
196,Turks&amp;CaicosIs.,TCA,2016,26.78091667
197,Tuvalu,TUV,2016,28.77459167
198,Uganda,UGA,2016,23.86768333
199,Ukraine,UKR,2016,9.713058333
200,UnitedArabEmirates,ARE,2016,28.24013333
201,UnitedKingdom,GBR,2016,9.237765
202,UnitedStates,USA,2016,9.030836667
203,Uruguay,URY,2016,17.65822583
204,Uzbekistan,UZB,2016,14.21950667
205,Vanuatu,VUT,2016,24.53220833
206,Venezuela,VEN,2016,26.4782
207,Vietnam,VNM,2016,25.07315833
208,VirginIs.,VIR,2016,26.404625
209,Yemen,YEM,2016,24.2212
210,Zambia,ZMB,2016,22.73705
211,Zimbabwe,ZWE,2016,22.31016667
212,Afghanistan,AFG,2015,13.86692167
213,Albania,ALB,2015,12.68525917
214,Algeria,DZA,2015,23.656875
215,AmericanSamoa,ASM,2015,27.2696
216,Andorra,AND,2015,12.57366667
217,Angola,AGO,2015,22.26043333
218,Antigua&amp;Barbuda,ATG,2015,26.48784167
