xyz,time,countryname,countrycode,Education,Unemployment,PovertyRatio,NetMigration,population,GDPpc,GINI,yearcountryWB
2134,1988,Sri Lanka,LKA,-1,-1,-1,-1,16882189,-1,-1,1988LKA
2135,1988,St. Kitts and Nevis,KNA,-1,-1,-1,-1,41047,-1,-1,1988KNA
2136,1988,St. Lucia,LCA,-1,-1,-1,-1,133533,-1,-1,1988LCA
2137,1988,St. Martin (French part),MAF,-1,-1,-1,-1,24873,-1,-1,1988MAF
2138,1988,St. Vincent and the Grenadines,VCT,-1,-1,-1,-1,106536,-1,-1,1988VCT
2139,1988,Sudan,SDN,-1,-1,-1,-1,18866319,-1,-1,1988SDN
2140,1988,Suriname,SUR,-1,-1,-1,-1,391391,-1,-1,1988SUR
2141,1988,Sweden,SWE,55.56887054,-1,-1,-1,8436489,-1,-1,1988SWE
2142,1988,Switzerland,CHE,-1,0.699999988,-1,-1,6593386,-1,-1,1988CHE
2143,1988,Syrian Arab Republic,SYR,-1,-1,-1,-1,11719071,-1,-1,1988SYR
2144,1988,Tajikistan,TJK,-1,-1,-1,-1,5001110,-1,-1,1988TJK
2145,1988,Tanzania,TZA,-1,-1,-1,-1,23909954,-1,-1,1988TZA
2146,1988,Thailand,THA,-1,3.039999962,-1,-1,54912334,-1,43.8,1988THA
2147,1988,Timor-Leste,TLS,-1,-1,-1,-1,714474,-1,-1,1988TLS
2148,1988,Togo,TGO,-1,-1,-1,-1,3581928,-1,-1,1988TGO
2149,1988,Tonga,TON,-1,-1,-1,-1,94667,-1,-1,1988TON
2150,1988,Trinidad and Tobago,TTO,-1,21.87999916,-1,-1,1204893,-1,42.6,1988TTO
2151,1988,Tunisia,TUN,-1,-1,-1,-1,7871459,-1,-1,1988TUN
2152,1988,Turkey,TUR,-1,8.039999962,-1,-1,52053704,-1,-1,1988TUR
2153,1988,Turkmenistan,TKM,-1,-1,-1,-1,3493894,-1,-1,1988TKM
2154,1988,Turks and Caicos Islands,TCA,-1,-1,-1,-1,10582,-1,-1,1988TCA
2155,1988,Tuvalu,TUV,-1,-1,-1,-1,8883,-1,-1,1988TUV
2156,1988,Uganda,UGA,-1,-1,-1,-1,16262533,-1,-1,1988UGA
2157,1988,Ukraine,UKR,-1,-1,-1,-1,51521000,-1,-1,1988UKR
2158,1988,United Arab Emirates,ARE,-1,-1,-1,-1,1655849,-1,-1,1988ARE
2159,1988,United Kingdom,GBR,-1,-1,-1,-1,56928327,-1,-1,1988GBR
2160,1988,United States,USA,-1,5.5,-1,-1,244499000,-1,-1,1988USA
2161,1988,Uruguay,URY,-1,-1,-1,-1,3069099,-1,-1,1988URY
2162,1988,Uzbekistan,UZB,-1,-1,-1,-1,19501225,-1,-1,1988UZB
2163,1988,Vanuatu,VUT,-1,-1,-1,-1,139366,-1,-1,1988VUT
2164,1988,"Venezuela, RB",VEN,-1,7.28000021,-1,-1,18912526,-1,-1,1988VEN
2165,1988,Vietnam,VNM,-1,-1,-1,-1,65313708,-1,-1,1988VNM
2166,1988,Virgin Islands (U.S.),VIR,-1,-1,-1,-1,100952,-1,-1,1988VIR
2167,1988,West Bank and Gaza,PSE,-1,-1,-1,-1,-1,-1,-1,1988PSE
2168,1988,"Yemen, Rep.",YEM,-1,-1,-1,-1,11051504,-1,-1,1988YEM
2169,1988,Zambia,ZMB,-1,-1,-1,-1,7600072,-1,-1,1988ZMB
2170,1988,Zimbabwe,ZWE,-1,-1,-1,-1,9604302,-1,-1,1988ZWE
2171,1989,Afghanistan,AFG,-1,-1,-1,-1,11777609,-1,-1,1989AFG
2172,1989,Albania,ALB,-1,7.300000191,-1,-1,3227943,-1,-1,1989ALB
2173,1989,Algeria,DZA,-1,17.63999939,-1,-1,25257672,-1,-1,1989DZA
2174,1989,American Samoa,ASM,-1,-1,-1,-1,45593,-1,-1,1989ASM
2175,1989,Andorra,AND,-1,-1,-1,-1,52448,-1,-1,1989AND
2176,1989,Angola,AGO,-1,-1,-1,-1,11827237,-1,-1,1989AGO
2177,1989,Antigua and Barbuda,ATG,-1,-1,-1,-1,66627,-1,-1,1989ATG
2178,1989,Argentina,ARG,-1,7.300000191,-1,-1,32263561,-1,-1,1989ARG
2179,1989,Armenia,ARM,-1,-1,-1,-1,3536469,-1,-1,1989ARM
2180,1989,Aruba,ABW,-1,-1,-1,-1,61032,-1,-1,1989ABW
2181,1989,Australia,AUS,-1,6.175000191,-1,-1,16814400,-1,33.2,1989AUS
2182,1989,Austria,AUT,-1,-1,-1,-1,7619567,-1,-1,1989AUT
2183,1989,Azerbaijan,AZE,-1,-1,-1,-1,7126891,-1,-1,1989AZE
2184,1989,"Bahamas, The",BHS,-1,11.59000015,-1,-1,251849,-1,-1,1989BHS
2185,1989,Bahrain,BHR,-1,-1,-1,-1,481090,-1,-1,1989BHR
2186,1989,Bangladesh,BGD,-1,0.920000017,-1,-1,103599232,-1,-1,1989BGD
2187,1989,Barbados,BRB,-1,14.06000042,-1,-1,259458,-1,-1,1989BRB
2188,1989,Belarus,BLR,-1,-1,-1,-1,10170000,-1,-1,1989BLR
2189,1989,Belgium,BEL,-1,-1,-1,-1,9937697,-1,-1,1989BEL
2190,1989,Belize,BLZ,-1,-1,-1,-1,183469,-1,-1,1989BLZ
2191,1989,Benin,BEN,-1,-1,-1,-1,4820016,-1,-1,1989BEN
2192,1989,Bermuda,BMU,-1,-1,-1,-1,58841,-1,-1,1989BMU
2193,1989,Bhutan,BTN,-1,-1,-1,-1,530257,-1,-1,1989BTN
2194,1989,Bolivia,BOL,-1,-1,-1,-1,6723046,-1,-1,1989BOL
2195,1989,Bosnia and Herzegovina,BIH,-1,-1,-1,-1,4506653,-1,-1,1989BIH
2196,1989,Botswana,BWA,-1,-1,-1,-1,1339624,-1,-1,1989BWA
2197,1989,Brazil,BRA,-1,2.970000029,-1,-1,146691981,-1,63.3,1989BRA
2198,1989,British Virgin Islands,VGB,-1,-1,-1,-1,15900,-1,-1,1989VGB
2199,1989,Brunei Darussalam,BRN,-1,-1,-1,-1,251514,-1,-1,1989BRN
2200,1989,Bulgaria,BGR,-1,-1,-1,-1,8876972,-1,-1,1989BGR
2201,1989,Burkina Faso,BFA,-1,-1,-1,-1,8579823,-1,-1,1989BFA
2202,1989,Burundi,BDI,-1,-1,-1,-1,5280024,-1,-1,1989BDI
2203,1989,Cabo Verde,CPV,-1,-1,-1,-1,335184,-1,-1,1989CPV
2204,1989,Cambodia,KHM,-1,-1,-1,-1,8689152,-1,-1,1989KHM
2205,1989,Cameroon,CMR,-1,-1,-1,-1,11372160,-1,-1,1989CMR
2206,1989,Canada,CAN,-1,7.546500206,-1,-1,27379000,-1,-1,1989CAN
2207,1989,Cayman Islands,CYM,-1,-1,-1,-1,23776,-1,-1,1989CYM
2208,1989,Central African Republic,CAF,-1,-1,-1,-1,2872668,-1,-1,1989CAF
2209,1989,Chad,TCD,-1,-1,-1,-1,5768086,-1,-1,1989TCD
2210,1989,Channel Islands,CHI,-1,-1,-1,-1,139530,-1,-1,1989CHI
2211,1989,Chile,CHL,-1,5.289999962,-1,-1,13025797,-1,-1,1989CHL
2212,1989,China,CHN,-1,2.599999905,-1,-1,1118650000,-1,-1,1989CHN
2213,1989,Colombia,COL,-1,-1,-1,-1,33624444,-1,-1,1989COL
2214,1989,Comoros,COM,-1,-1,-1,-1,399632,-1,-1,1989COM
2215,1989,"Congo, Dem. Rep.",COD,-1,-1,-1,-1,33465441,-1,-1,1989COD
2216,1989,"Congo, Rep.",COG,-1,-1,-1,-1,2375008,-1,-1,1989COG
2217,1989,Costa Rica,CRI,-1,-1,-1,-1,3018955,-1,46.7,1989CRI
2218,1989,Cote d'Ivoire,CIV,-1,-1,-1,-1,11839243,-1,-1,1989CIV
2219,1989,Croatia,HRV,-1,-1,-1,-1,4767000,-1,-1,1989HRV
2220,1989,Cuba,CUB,-1,-1,-1,-1,10486509,-1,-1,1989CUB
2221,1989,Curacao,CUW,-1,-1,-1,-1,146937,-1,-1,1989CUW
2222,1989,Cyprus,CYP,-1,2.299999952,-1,-1,751044,-1,-1,1989CYP
2223,1989,Czech Republic,CZE,-1,-1,-1,-1,10361068,-1,-1,1989CZE
2224,1989,Denmark,DNK,-1,-1,-1,-1,5132594,-1,-1,1989DNK
2225,1989,Djibouti,DJI,-1,-1,-1,-1,563864,-1,-1,1989DJI
2226,1989,Dominica,DMA,-1,11.32999992,-1,-1,71242,-1,-1,1989DMA
2227,1989,Dominican Republic,DOM,-1,-1,-1,-1,7042937,-1,50.5,1989DOM
2228,1989,Ecuador,ECU,-1,7.710000038,-1,-1,9977377,-1,-1,1989ECU
2229,1989,"Egypt, Arab Rep.",EGY,-1,7.059999943,-1,-1,56006573,-1,-1,1989EGY
2230,1989,El Salvador,SLV,-1,8.350000381,-1,-1,5185943,-1,-1,1989SLV
2231,1989,Equatorial Guinea,GNQ,-1,-1,-1,-1,414138,-1,-1,1989GNQ
2232,1989,Eritrea,ERI,-1,-1,-1,-1,3071771,-1,-1,1989ERI
2233,1989,Estonia,EST,-1,0.560000002,-1,-1,1568131,-1,-1,1989EST
2234,1989,Eswatini,SWZ,-1,-1,-1,-1,832682,-1,-1,1989SWZ
2235,1989,Ethiopia,ETH,-1,-1,-1,-1,46458913,-1,-1,1989ETH
2236,1989,Faroe Islands,FRO,-1,-1,-1,-1,47466,-1,-1,1989FRO
2237,1989,Fiji,FJI,-1,-1,-1,-1,724624,-1,-1,1989FJI
2238,1989,Finland,FIN,-1,3.140000105,-1,-1,4964371,-1,-1,1989FIN
2239,1989,France,FRA,-1,9.622300148,-1,-1,58182702,-1,-1,1989FRA
2240,1989,French Polynesia,PYF,-1,-1,-1,-1,194252,-1,-1,1989PYF
2241,1989,Gabon,GAB,-1,-1,-1,-1,926622,-1,-1,1989GAB
2242,1989,"Gambia, The",GMB,-1,-1,-1,-1,881138,-1,-1,1989GMB
2243,1989,Georgia,GEO,-1,-1,-1,-1,4803300,-1,-1,1989GEO
2244,1989,Germany,DEU,-1,5.705699921,-1,-1,78751283,-1,-1,1989DEU
2245,1989,Ghana,GHA,-1,-1,-1,-1,14233874,-1,-1,1989GHA
2246,1989,Gibraltar,GIB,-1,-1,-1,-1,29262,-1,-1,1989GIB
2247,1989,Greece,GRC,-1,7.458499908,-1,-1,10089498,-1,-1,1989GRC
2248,1989,Greenland,GRL,-1,-1,-1,-1,55300,-1,-1,1989GRL
2249,1989,Grenada,GRD,-1,-1,-1,-1,96869,-1,-1,1989GRD
2250,1989,Guam,GUM,-1,2.809999943,-1,-1,127522,-1,-1,1989GUM
2251,1989,Guatemala,GTM,-1,1.940000057,-1,-1,9050465,-1,59.6,1989GTM
2252,1989,Guinea,GIN,-1,-1,-1,-1,5770652,-1,-1,1989GIN
2253,1989,Guinea-Bissau,GNB,-1,-1,-1,-1,988520,-1,-1,1989GNB
2254,1989,Guyana,GUY,-1,-1,-1,-1,745665,-1,-1,1989GUY
2255,1989,Haiti,HTI,-1,-1,-1,-1,6956300,-1,-1,1989HTI
2256,1989,Honduras,HND,-1,-1,-1,-1,4814137,-1,59.5,1989HND
2257,1989,"Hong Kong SAR, China",HKG,-1,1.070000052,-1,-1,5686200,-1,-1,1989HKG
2258,1989,Hungary,HUN,-1,-1,-1,-1,10481719,-1,25,1989HUN
2259,1989,Iceland,ISL,-1,-1,-1,-1,252852,-1,-1,1989ISL
2260,1989,India,IND,-1,-1,-1,-1,852270034,-1,-1,1989IND
2261,1989,Indonesia,IDN,-1,-1,-1,-1,178233223,-1,-1,1989IDN
2262,1989,"Iran, Islamic Rep.",IRN,-1,-1,-1,-1,54777114,-1,-1,1989IRN
2263,1989,Iraq,IRQ,-1,-1,-1,-1,17040190,-1,-1,1989IRQ
2264,1989,Ireland,IRL,-1,16.09679985,-1,-1,3511009,-1,-1,1989IRL
2265,1989,Isle of Man,IMN,-1,2,-1,-1,67388,-1,-1,1989IMN
2266,1989,Israel,ISR,-1,-1,-1,-1,4518000,-1,-1,1989ISR
2267,1989,Italy,ITA,-1,10.99059963,-1,-1,56671781,-1,-1,1989ITA
2268,1989,Jamaica,JAM,-1,-1,30.5,-1,2407720,-1,-1,1989JAM
2269,1989,Japan,JPN,-1,2.299999952,-1,-1,123116000,-1,-1,1989JPN
2270,1989,Jordan,JOR,-1,-1,-1,-1,3395023,-1,-1,1989JOR
2271,1989,Kazakhstan,KAZ,-1,-1,-1,-1,16249500,-1,-1,1989KAZ
2272,1989,Kenya,KEN,-1,-1,-1,-1,22633022,-1,-1,1989KEN
2273,1989,Kiribati,KIR,-1,-1,-1,-1,70860,-1,-1,1989KIR
2274,1989,"Korea, Dem. People’s Rep.",PRK,-1,-1,-1,-1,19993755,-1,-1,1989PRK
2275,1989,"Korea, Rep.",KOR,-1,2.569000006,-1,-1,42449038,-1,-1,1989KOR
2276,1989,Kosovo,XKX,-1,-1,-1,-1,1827000,-1,-1,1989XKX
2277,1989,Kuwait,KWT,-1,-1,-1,-1,2096932,-1,-1,1989KWT
2278,1989,Kyrgyz Republic,KGZ,-1,-1,-1,-1,4307500,-1,-1,1989KGZ
2279,1989,Lao PDR,LAO,-1,-1,-1,-1,4138408,-1,-1,1989LAO
2280,1989,Latvia,LVA,-1,-1,-1,-1,2666955,-1,-1,1989LVA
2281,1989,Lebanon,LBN,-1,-1,-1,-1,2676605,-1,-1,1989LBN
2282,1989,Lesotho,LSO,-1,-1,-1,-1,1576022,-1,-1,1989LSO
2283,1989,Liberia,LBR,-1,-1,-1,-1,2131525,-1,-1,1989LBR
2284,1989,Libya,LBY,-1,-1,-1,-1,4328914,-1,-1,1989LBY
2285,1989,Liechtenstein,LIE,-1,-1,-1,-1,28407,-1,-1,1989LIE
2286,1989,Lithuania,LTU,-1,-1,-1,-1,3684255,-1,-1,1989LTU
2287,1989,Luxembourg,LUX,-1,1.58829999,-1,-1,377100,-1,-1,1989LUX
2288,1989,"Macao SAR, China",MAC,-1,-1,-1,-1,332901,-1,-1,1989MAC
2289,1989,Madagascar,MDG,-1,-1,-1,-1,11268658,-1,-1,1989MDG
2290,1989,Malawi,MWI,-1,-1,-1,-1,9094671,-1,-1,1989MWI
2291,1989,Malaysia,MYS,-1,5.730000019,-1,-1,17535971,-1,46.2,1989MYS
2292,1989,Maldives,MDV,-1,-1,-1,-1,216595,-1,-1,1989MDV
2293,1989,Mali,MLI,-1,-1,-1,-1,8309531,-1,-1,1989MLI
2294,1989,Malta,MLT,-1,3.700000048,-1,-1,350722,-1,-1,1989MLT
2295,1989,Marshall Islands,MHL,-1,-1,-1,-1,45814,-1,-1,1989MHL
2296,1989,Mauritania,MRT,-1,-1,-1,-1,1976030,-1,-1,1989MRT
2297,1989,Mauritius,MUS,-1,-1,-1,-1,1051260,-1,-1,1989MUS
2298,1989,Mexico,MEX,-1,-1,-1,-1,83697891,-1,-1,1989MEX
2299,1989,"Micronesia, Fed. Sts.",FSM,-1,-1,-1,-1,94091,-1,-1,1989FSM
2300,1989,Moldova,MDA,-1,-1,-1,-1,3681000,-1,-1,1989MDA
2301,1989,Monaco,MCO,-1,-1,-1,-1,29312,-1,-1,1989MCO
2302,1989,Mongolia,MNG,-1,-1,-1,-1,2141008,-1,-1,1989MNG
2303,1989,Montenegro,MNE,-1,-1,-1,-1,606571,-1,-1,1989MNE
2304,1989,Morocco,MAR,-1,16.29999924,-1,-1,24421191,-1,-1,1989MAR
2305,1989,Mozambique,MOZ,-1,-1,-1,-1,13059613,-1,-1,1989MOZ
2306,1989,Myanmar,MMR,-1,-1,-1,-1,40014862,-1,-1,1989MMR
2307,1989,Namibia,NAM,-1,-1,-1,-1,1359933,-1,-1,1989NAM
2308,1989,Nauru,NRU,-1,-1,-1,-1,8954,-1,-1,1989NRU
2309,1989,Nepal,NPL,-1,-1,-1,-1,18293514,-1,-1,1989NPL
2310,1989,Netherlands,NLD,-1,8.703499794,-1,-1,14848907,-1,-1,1989NLD
2311,1989,New Caledonia,NCL,-1,-1,-1,-1,166898,-1,-1,1989NCL
2312,1989,New Zealand,NZL,-1,7.3052001,-1,-1,3299200,-1,-1,1989NZL
2313,1989,Nicaragua,NIC,-1,8.659999847,-1,-1,4055265,-1,-1,1989NIC
2314,1989,Niger,NER,-1,-1,-1,-1,7768995,-1,-1,1989NER
2315,1989,Nigeria,NGA,-1,-1,-1,-1,92844353,-1,-1,1989NGA
2316,1989,North Macedonia,MKD,-1,22.60000038,-1,-1,1996870,-1,-1,1989MKD
2317,1989,Northern Mariana Islands,MNP,-1,-1,-1,-1,39808,-1,-1,1989MNP
2318,1989,Norway,NOR,-1,4.829999924,-1,-1,4226901,-1,-1,1989NOR
2319,1989,Oman,OMN,-1,-1,-1,-1,1741160,-1,-1,1989OMN
2320,1989,Pakistan,PAK,-1,2.029999971,-1,-1,104588490,-1,-1,1989PAK
2321,1989,Palau,PLW,-1,-1,-1,-1,14757,-1,-1,1989PLW
2322,1989,Panama,PAN,-1,16.30999947,-1,-1,2419491,-1,58.9,1989PAN
2323,1989,Papua New Guinea,PNG,-1,-1,-1,-1,4205654,-1,-1,1989PNG
2324,1989,Paraguay,PRY,-1,5.619999886,-1,-1,4103911,-1,-1,1989PRY
2325,1989,Peru,PER,-1,7.920000076,-1,-1,21368859,-1,-1,1989PER
2326,1989,Philippines,PHL,-1,8.420000076,-1,-1,60391867,-1,-1,1989PHL
2327,1989,Poland,POL,-1,-1,-1,-1,37961529,-1,-1,1989POL
2328,1989,Portugal,PRT,-1,5.130099773,-1,-1,10005000,-1,-1,1989PRT
2329,1989,Puerto Rico,PRI,-1,14.60000038,-1,-1,3505650,-1,-1,1989PRI
2330,1989,Qatar,QAT,-1,-1,-1,-1,461870,-1,-1,1989QAT
2331,1989,Romania,ROU,-1,-1,-1,-1,23161458,-1,23.3,1989ROU
2332,1989,Russian Federation,RUS,-1,-1,-1,-1,147721000,-1,-1,1989RUS
2333,1989,Rwanda,RWA,-1,0.800000012,-1,-1,7216028,-1,-1,1989RWA
2334,1989,Samoa,WSM,-1,-1,-1,-1,161998,-1,-1,1989WSM
2335,1989,San Marino,SMR,-1,5.300000191,-1,-1,23740,-1,-1,1989SMR
2336,1989,Sao Tome and Principe,STP,-1,-1,-1,-1,111627,-1,-1,1989STP
2337,1989,Saudi Arabia,SAU,-1,-1,-1,-1,15755944,-1,-1,1989SAU
2338,1989,Senegal,SEN,-1,-1,-1,-1,7328600,-1,-1,1989SEN
2339,1989,Serbia,SRB,-1,-1,-1,-1,-1,-1,-1,1989SRB
2340,1989,Seychelles,SYC,-1,-1,-1,-1,69167,-1,-1,1989SYC
2341,1989,Sierra Leone,SLE,-1,-1,-1,-1,4249468,-1,-1,1989SLE
2342,1989,Singapore,SGP,-1,2.349999905,-1,-1,2930901,-1,-1,1989SGP
2343,1989,Sint Maarten (Dutch part),SXM,-1,-1,-1,-1,-1,-1,-1,1989SXM
2344,1989,Slovak Republic,SVK,-1,-1,-1,-1,5275942,-1,-1,1989SVK
2345,1989,Slovenia,SVN,-1,-1,-1,-1,1996351,-1,-1,1989SVN
2346,1989,Solomon Islands,SLB,-1,-1,-1,-1,303253,-1,-1,1989SLB
2347,1989,Somalia,SOM,-1,-1,-1,-1,7298417,-1,-1,1989SOM
2348,1989,South Africa,ZAF,-1,-1,-1,-1,36740883,-1,-1,1989ZAF
2349,1989,South Sudan,SSD,-1,-1,-1,-1,5777498,-1,-1,1989SSD
2350,1989,Spain,ESP,-1,-1,-1,-1,38827764,-1,-1,1989ESP
2351,1989,Sri Lanka,LKA,-1,-1,-1,-1,17110713,-1,-1,1989LKA
2352,1989,St. Kitts and Nevis,KNA,-1,-1,-1,-1,40852,-1,-1,1989KNA
2353,1989,St. Lucia,LCA,-1,-1,-1,-1,135956,-1,-1,1989LCA
2354,1989,St. Martin (French part),MAF,-1,-1,-1,-1,27676,-1,-1,1989MAF
2355,1989,St. Vincent and the Grenadines,VCT,-1,-1,-1,-1,107084,-1,-1,1989VCT
2356,1989,Sudan,SDN,-1,-1,-1,-1,19475609,-1,-1,1989SDN
2357,1989,Suriname,SUR,-1,15.51000023,-1,-1,399492,-1,-1,1989SUR
2358,1989,Sweden,SWE,56.89197159,1.460000038,-1,-1,8492964,-1,-1,1989SWE
2359,1989,Switzerland,CHE,-1,0.600000024,-1,-1,6646912,-1,-1,1989CHE
2360,1989,Syrian Arab Republic,SYR,-1,5.78000021,-1,-1,12080444,-1,-1,1989SYR
2361,1989,Tajikistan,TJK,-1,-1,-1,-1,5149803,-1,-1,1989TJK
2362,1989,Tanzania,TZA,-1,-1,-1,-1,24660575,-1,-1,1989TZA
2363,1989,Thailand,THA,-1,1.389999986,-1,-1,55795106,-1,-1,1989THA
2364,1989,Timor-Leste,TLS,-1,-1,-1,-1,731444,-1,-1,1989TLS
2365,1989,Togo,TGO,-1,-1,-1,-1,3686373,-1,-1,1989TGO
2366,1989,Tonga,TON,-1,-1,-1,-1,94929,-1,-1,1989TON
2367,1989,Trinidad and Tobago,TTO,-1,21.95000076,-1,-1,1213624,-1,-1,1989TTO
2368,1989,Tunisia,TUN,-1,16.12999916,-1,-1,8050932,-1,-1,1989TUN
2369,1989,Turkey,TUR,-1,8.260000229,-1,-1,52992429,-1,-1,1989TUR
2370,1989,Turkmenistan,TKM,-1,-1,-1,-1,3585867,-1,-1,1989TKM
2371,1989,Turks and Caicos Islands,TCA,-1,-1,-1,-1,11017,-1,-1,1989TCA
2372,1989,Tuvalu,TUV,-1,-1,-1,-1,8947,-1,-1,1989TUV
2373,1989,Uganda,UGA,-1,-1,-1,-1,16846090,-1,44.4,1989UGA
2374,1989,Ukraine,UKR,-1,-1,-1,-1,51773000,-1,-1,1989UKR
2375,1989,United Arab Emirates,ARE,-1,-1,-1,-1,1756043,-1,-1,1989ARE
2376,1989,United Kingdom,GBR,-1,-1,-1,-1,57076711,-1,-1,1989GBR
2377,1989,United States,USA,-1,5.300000191,-1,-1,246819000,-1,-1,1989USA
2378,1989,Uruguay,URY,-1,-1,-1,-1,3088984,-1,42.4,1989URY
2379,1989,Uzbekistan,UZB,-1,-1,-1,-1,19979127,-1,-1,1989UZB
2380,1989,Vanuatu,VUT,-1,-1,-1,-1,142849,-1,-1,1989VUT
2381,1989,"Venezuela, RB",VEN,-1,9.739999771,-1,-1,19388342,-1,45.3,1989VEN
2382,1989,Vietnam,VNM,-1,-1,-1,-1,66757402,-1,-1,1989VNM
2383,1989,Virgin Islands (U.S.),VIR,-1,-1,-1,-1,101041,-1,-1,1989VIR
2384,1989,West Bank and Gaza,PSE,-1,-1,-1,-1,-1,-1,-1,1989PSE
2385,1989,"Yemen, Rep.",YEM,-1,-1,-1,-1,11523267,-1,-1,1989YEM
2386,1989,Zambia,ZMB,-1,-1,-1,-1,7813808,-1,-1,1989ZMB
2387,1989,Zimbabwe,ZWE,-1,-1,-1,-1,9902540,-1,-1,1989ZWE
2388,1990,Afghanistan,AFG,-1,-1,-1,-1,12249114,-1,-1,1990AFG
2389,1990,Albania,ALB,-1,9.5,-1,-1,3286542,2608.926433,-1,1990ALB
2390,1990,Algeria,DZA,-1,21.26000023,-1,-1,25912367,6616.408352,-1,1990DZA
2391,1990,American Samoa,ASM,-1,5.110000134,-1,-1,47038,-1,-1,1990ASM
2392,1990,Andorra,AND,-1,-1,-1,-1,54509,-1,-1,1990AND
2393,1990,Angola,AGO,-1,-1,-1,-1,12171441,2995.661116,-1,1990AGO
2394,1990,Antigua and Barbuda,ATG,-1,-1,-1,-1,66696,10587.59341,-1,1990ATG
2395,1990,Argentina,ARG,-1,7.059999943,-1,-1,32729739,7325.682567,-1,1990ARG
2396,1990,Armenia,ARM,-1,-1,-1,-1,3538165,2418.860926,-1,1990ARM
2397,1990,Aruba,ABW,-1,-1,-1,-1,62149,24004.82508,-1,1990ABW
2398,1990,Australia,AUS,-1,6.926000118,-1,-1,17065100,17338.4672,-1,1990AUS
2399,1990,Austria,AUT,-1,-1,-1,-1,7677850,19452.46636,-1,1990AUT
2400,1990,Azerbaijan,AZE,-1,-1,-1,-1,7159000,5502.433989,-1,1990AZE
2401,1990,"Bahamas, The",BHS,-1,7.769999981,-1,-1,256336,20031.13314,-1,1990BHS
2402,1990,Bahrain,BHR,-1,-1,-1,-1,495931,22694.90726,-1,1990BHR
2403,1990,Bangladesh,BGD,-1,-1,-1,-1,106188642,832.4340817,-1,1990BGD
2404,1990,Barbados,BRB,-1,8.159999847,-1,-1,260374,9147.802433,-1,1990BRB
2405,1990,Belarus,BLR,-1,-1,-1,-1,10189000,5407.630823,-1,1990BLR
2406,1990,Belgium,BEL,-1,-1,-1,-1,9967379,18768.80691,-1,1990BEL
2407,1990,Belize,BLZ,-1,-1,-1,-1,187552,3306.538673,-1,1990BLZ
2408,1990,Benin,BEN,-1,-1,-1,-1,4978496,945.3767455,-1,1990BEN
2409,1990,Bermuda,BMU,-1,-1,-1,-1,59326,26210.9109,-1,1990BMU
2410,1990,Bhutan,BTN,-1,-1,-1,-1,537280,1502.880658,-1,1990BTN
2411,1990,Bolivia,BOL,-1,-1,-1,-1,6856244,2396.114889,42,1990BOL
2412,1990,Bosnia and Herzegovina,BIH,-1,-1,-1,-1,4463422,-1,-1,1990BIH
2413,1990,Botswana,BWA,-1,-1,-1,-1,1377912,5131.423474,-1,1990BWA
2414,1990,Brazil,BRA,-1,-1,-1,-1,149352145,6686.227659,60.5,1990BRA
2415,1990,British Virgin Islands,VGB,-1,-1,-1,-1,16461,-1,-1,1990VGB
2416,1990,Brunei Darussalam,BRN,-1,-1,-1,-1,258785,54726.56428,-1,1990BRN
2417,1990,Bulgaria,BGR,-1,1.700000048,-1,-1,8718289,5191.149544,-1,1990BGR
2418,1990,Burkina Faso,BFA,-1,-1,-1,-1,8811034,545.7262408,-1,1990BFA
2419,1990,Burundi,BDI,-1,0.479999989,-1,-1,5415415,666.9271372,-1,1990BDI
2420,1990,Cabo Verde,CPV,-1,23,-1,-1,341883,1070.914065,-1,1990CPV
2421,1990,Cambodia,KHM,-1,-1,-1,-1,8973342,-1,-1,1990KHM
2422,1990,Cameroon,CMR,-1,-1,-1,-1,11715218,1952.243722,-1,1990CMR
2423,1990,Canada,CAN,-1,8.131099701,-1,-1,27791000,20107.83069,-1,1990CAN
2424,1990,Cayman Islands,CYM,-1,-1,-1,-1,25010,-1,-1,1990CYM
2425,1990,Central African Republic,CAF,-1,-1,-1,-1,2939780,597.8928698,-1,1990CAF
2426,1990,Chad,TCD,-1,-1,-1,-1,5956859,717.7127561,-1,1990TCD
2427,1990,Channel Islands,CHI,-1,-1,-1,-1,140671,-1,-1,1990CHI
2428,1990,Chile,CHL,-1,-1,-1,-1,13242132,4507.114744,57.2,1990CHL
2429,1990,China,CHN,-1,2.5,-1,-1,1135185000,986.5683762,32.3,1990CHN
2430,1990,Colombia,COL,-1,-1,-1,-1,34271565,4825.114339,-1,1990COL
2431,1990,Comoros,COM,-1,-1,-1,-1,411594,1667.862771,-1,1990COM
2432,1990,"Congo, Dem. Rep.",COD,-1,-1,-1,-1,34614581,896.3545346,-1,1990COD
2433,1990,"Congo, Rep.",COG,-1,-1,-1,-1,2440457,3322.420799,-1,1990COG
2434,1990,Costa Rica,CRI,-1,4.511000156,-1,-1,3095995,5043.377666,45.3,1990CRI
2435,1990,Cote d'Ivoire,CIV,-1,-1,-1,-1,12267754,2064.231664,-1,1990CIV
2436,1990,Croatia,HRV,-1,-1,-1,-1,4780000,-1,-1,1990HRV
2437,1990,Cuba,CUB,-1,-1,-1,-1,10582081,-1,-1,1990CUB
2438,1990,Curacao,CUW,-1,-1,-1,-1,145400,-1,-1,1990CUW
2439,1990,Cyprus,CYP,-1,1.799999952,-1,-1,766614,13178.99547,-1,1990CYP
2440,1990,Czech Republic,CZE,-1,0.699999988,-1,-1,10333355,12666.46265,-1,1990CZE
