xyz,continent_code,continent,country,codecountry,year,suicides_no
914,NA,North America,Dominica,DMA,1994,0
915,NA,North America,Dominica,DMA,1995,2
916,NA,North America,Dominica,DMA,1996,0
917,NA,North America,Dominica,DMA,1997,1
918,NA,North America,Dominica,DMA,1998,0
919,NA,North America,Dominica,DMA,1999,8
920,NA,North America,Dominica,DMA,2000,2
921,NA,North America,Dominica,DMA,2001,5
922,NA,North America,Dominica,DMA,2002,2
923,NA,North America,Dominica,DMA,2003,2
924,NA,North America,Dominica,DMA,2004,2
925,NA,North America,Dominica,DMA,2005,1
926,NA,North America,Dominica,DMA,2006,0
927,NA,North America,Dominica,DMA,2007,2
928,NA,North America,Dominica,DMA,2008,3
929,NA,North America,Dominica,DMA,2009,1
930,NA,North America,Dominica,DMA,2010,3
931,NA,North America,Dominica,DMA,2011,5
932,NA,North America,Dominica,DMA,2012,2
933,NA,North America,Dominica,DMA,2013,1
934,NA,North America,Dominica,DMA,2014,3
935,NA,North America,Dominica,DMA,2015,5
936,NA,North America,Dominican Republic,DOM,1980,107
937,NA,North America,Dominican Republic,DOM,1981,113
938,NA,North America,Dominican Republic,DOM,1982,133
939,NA,North America,Dominican Republic,DOM,1983,167
940,NA,North America,Dominican Republic,DOM,1984,149
941,NA,North America,Dominican Republic,DOM,1985,133
942,NA,North America,Dominican Republic,DOM,1986,130
943,NA,North America,Dominican Republic,DOM,1987,122
944,NA,North America,Dominican Republic,DOM,1988,124
945,NA,North America,Dominican Republic,DOM,1989,127
946,NA,North America,Dominican Republic,DOM,1990,123
947,NA,North America,Dominican Republic,DOM,1991,119
948,NA,North America,Dominican Republic,DOM,1992,133
949,NA,North America,Dominican Republic,DOM,1994,98
950,NA,North America,Dominican Republic,DOM,1995,136
951,NA,North America,Dominican Republic,DOM,1996,118
952,NA,North America,Dominican Republic,DOM,1997,151
953,NA,North America,Dominican Republic,DOM,1998,149
954,NA,North America,Dominican Republic,DOM,1999,174
955,NA,North America,Dominican Republic,DOM,2000,148
956,NA,North America,Dominican Republic,DOM,2001,152
957,NA,North America,Dominican Republic,DOM,2002,137
958,NA,North America,Dominican Republic,DOM,2003,156
959,NA,North America,Dominican Republic,DOM,2004,149
960,NA,North America,Dominican Republic,DOM,2005,221
961,NA,North America,Dominican Republic,DOM,2006,157
962,NA,North America,Dominican Republic,DOM,2007,169
963,NA,North America,Dominican Republic,DOM,2008,184
964,NA,North America,Dominican Republic,DOM,2009,203
965,NA,North America,Dominican Republic,DOM,2010,210
966,NA,North America,Dominican Republic,DOM,2011,221
967,NA,North America,Dominican Republic,DOM,2012,254
968,NA,North America,Dominican Republic,DOM,2013,445
969,SA,South America,Ecuador,ECU,1979,242
970,SA,South America,Ecuador,ECU,1980,233
971,SA,South America,Ecuador,ECU,1981,321
972,SA,South America,Ecuador,ECU,1982,366
973,SA,South America,Ecuador,ECU,1983,384
974,SA,South America,Ecuador,ECU,1984,389
975,SA,South America,Ecuador,ECU,1985,393
976,SA,South America,Ecuador,ECU,1986,377
977,SA,South America,Ecuador,ECU,1987,390
978,SA,South America,Ecuador,ECU,1988,466
979,SA,South America,Ecuador,ECU,1989,431
980,SA,South America,Ecuador,ECU,1990,448
981,SA,South America,Ecuador,ECU,1991,494
982,SA,South America,Ecuador,ECU,1992,505
983,SA,South America,Ecuador,ECU,1993,574
984,SA,South America,Ecuador,ECU,1994,512
985,SA,South America,Ecuador,ECU,1995,546
986,SA,South America,Ecuador,ECU,1996,593
987,SA,South America,Ecuador,ECU,1997,579
988,SA,South America,Ecuador,ECU,1998,546
989,SA,South America,Ecuador,ECU,1999,616
990,SA,South America,Ecuador,ECU,2000,534
991,SA,South America,Ecuador,ECU,2001,584
992,SA,South America,Ecuador,ECU,2002,577
993,SA,South America,Ecuador,ECU,2003,675
994,SA,South America,Ecuador,ECU,2004,791
995,SA,South America,Ecuador,ECU,2005,943
996,SA,South America,Ecuador,ECU,2006,900
997,SA,South America,Ecuador,ECU,2007,1005
998,SA,South America,Ecuador,ECU,2008,928
999,SA,South America,Ecuador,ECU,2009,964
1000,SA,South America,Ecuador,ECU,2010,912
1001,SA,South America,Ecuador,ECU,2011,918
1002,SA,South America,Ecuador,ECU,2012,976
1003,SA,South America,Ecuador,ECU,2013,676
1004,SA,South America,Ecuador,ECU,2014,734
1005,SA,South America,Ecuador,ECU,2015,1073
1006,AF,Africa,"Egypt, Arab Rep.",EGY,1980,15
1007,AF,Africa,"Egypt, Arab Rep.",EGY,1987,22
1008,AF,Africa,"Egypt, Arab Rep.",EGY,2000,48
1009,AF,Africa,"Egypt, Arab Rep.",EGY,2001,49
1010,AF,Africa,"Egypt, Arab Rep.",EGY,2002,36
1011,AF,Africa,"Egypt, Arab Rep.",EGY,2003,42
1012,AF,Africa,"Egypt, Arab Rep.",EGY,2004,54
1013,AF,Africa,"Egypt, Arab Rep.",EGY,2005,52
1014,AF,Africa,"Egypt, Arab Rep.",EGY,2006,43
1015,AF,Africa,"Egypt, Arab Rep.",EGY,2007,32
1016,AF,Africa,"Egypt, Arab Rep.",EGY,2008,41
1017,AF,Africa,"Egypt, Arab Rep.",EGY,2009,52
1018,AF,Africa,"Egypt, Arab Rep.",EGY,2010,48
1019,AF,Africa,"Egypt, Arab Rep.",EGY,2011,176
1020,AF,Africa,"Egypt, Arab Rep.",EGY,2012,211
1021,AF,Africa,"Egypt, Arab Rep.",EGY,2013,149
1022,AF,Africa,"Egypt, Arab Rep.",EGY,2014,88
1023,AF,Africa,"Egypt, Arab Rep.",EGY,2015,48
1024,NA,North America,El Salvador,SLV,1981,477
1025,NA,North America,El Salvador,SLV,1982,546
1026,NA,North America,El Salvador,SLV,1983,600
1027,NA,North America,El Salvador,SLV,1984,559
1028,NA,North America,El Salvador,SLV,1990,571
1029,NA,North America,El Salvador,SLV,1991,474
1030,NA,North America,El Salvador,SLV,1992,419
1031,NA,North America,El Salvador,SLV,1993,424
1032,NA,North America,El Salvador,SLV,1995,620
1033,NA,North America,El Salvador,SLV,1996,540
1034,NA,North America,El Salvador,SLV,1997,577
1035,NA,North America,El Salvador,SLV,1998,512
1036,NA,North America,El Salvador,SLV,1999,515
1037,NA,North America,El Salvador,SLV,2000,461
1038,NA,North America,El Salvador,SLV,2001,514
1039,NA,North America,El Salvador,SLV,2002,436
1040,NA,North America,El Salvador,SLV,2003,527
1041,NA,North America,El Salvador,SLV,2004,464
1042,NA,North America,El Salvador,SLV,2005,455
1043,NA,North America,El Salvador,SLV,2006,411
1044,NA,North America,El Salvador,SLV,2007,501
1045,NA,North America,El Salvador,SLV,2008,490
1046,NA,North America,El Salvador,SLV,2009,506
1047,NA,North America,El Salvador,SLV,2010,399
1048,NA,North America,El Salvador,SLV,2011,485
1049,NA,North America,El Salvador,SLV,2012,512
1050,NA,North America,El Salvador,SLV,2013,484
1051,NA,North America,El Salvador,SLV,2014,386
1052,EU,Europe,Estonia,EST,1981,544
1053,EU,Europe,Estonia,EST,1982,481
1054,EU,Europe,Estonia,EST,1985,470
1055,EU,Europe,Estonia,EST,1986,423
1056,EU,Europe,Estonia,EST,1987,396
1057,EU,Europe,Estonia,EST,1988,381
1058,EU,Europe,Estonia,EST,1989,408
1059,EU,Europe,Estonia,EST,1990,428
1060,EU,Europe,Estonia,EST,1991,423
1061,EU,Europe,Estonia,EST,1992,495
1062,EU,Europe,Estonia,EST,1993,574
1063,EU,Europe,Estonia,EST,1994,614
1064,EU,Europe,Estonia,EST,1995,594
1065,EU,Europe,Estonia,EST,1996,545
1066,EU,Europe,Estonia,EST,1997,522
1067,EU,Europe,Estonia,EST,1998,477
1068,EU,Europe,Estonia,EST,1999,468
1069,EU,Europe,Estonia,EST,2000,377
1070,EU,Europe,Estonia,EST,2001,401
1071,EU,Europe,Estonia,EST,2002,371
1072,EU,Europe,Estonia,EST,2003,342
1073,EU,Europe,Estonia,EST,2004,323
1074,EU,Europe,Estonia,EST,2005,273
1075,EU,Europe,Estonia,EST,2006,247
1076,EU,Europe,Estonia,EST,2007,251
1077,EU,Europe,Estonia,EST,2008,242
1078,EU,Europe,Estonia,EST,2009,269
1079,EU,Europe,Estonia,EST,2010,223
1080,EU,Europe,Estonia,EST,2011,218
1081,EU,Europe,Estonia,EST,2012,237
1082,EU,Europe,Estonia,EST,2013,218
1083,EU,Europe,Estonia,EST,2014,241
1084,EU,Europe,Estonia,EST,2015,195
1090,OC,Oceania,Fiji,FJI,2001,36
1091,OC,Oceania,Fiji,FJI,2002,42
1092,OC,Oceania,Fiji,FJI,2003,10
1093,OC,Oceania,Fiji,FJI,2004,24
1094,OC,Oceania,Fiji,FJI,2005,22
1095,OC,Oceania,Fiji,FJI,2006,24
1096,OC,Oceania,Fiji,FJI,2007,13
1097,OC,Oceania,Fiji,FJI,2008,37
1098,OC,Oceania,Fiji,FJI,2009,26
1099,OC,Oceania,Fiji,FJI,2011,38
1100,OC,Oceania,Fiji,FJI,2012,32
1101,EU,Europe,Finland,FIN,1987,1363
1102,EU,Europe,Finland,FIN,1988,1402
1103,EU,Europe,Finland,FIN,1989,1413
1104,EU,Europe,Finland,FIN,1990,1512
1105,EU,Europe,Finland,FIN,1991,1493
1106,EU,Europe,Finland,FIN,1992,1451
1107,EU,Europe,Finland,FIN,1993,1397
1108,EU,Europe,Finland,FIN,1994,1387
1109,EU,Europe,Finland,FIN,1995,1388
1110,EU,Europe,Finland,FIN,1996,1247
1111,EU,Europe,Finland,FIN,1997,1322
1112,EU,Europe,Finland,FIN,1998,1228
1113,EU,Europe,Finland,FIN,1999,1207
1114,EU,Europe,Finland,FIN,2000,1165
1115,EU,Europe,Finland,FIN,2001,1204
1116,EU,Europe,Finland,FIN,2002,1095
1117,EU,Europe,Finland,FIN,2003,1075
1118,EU,Europe,Finland,FIN,2004,1064
1119,EU,Europe,Finland,FIN,2005,994
1120,EU,Europe,Finland,FIN,2006,1062
1121,EU,Europe,Finland,FIN,2007,995
1122,EU,Europe,Finland,FIN,2008,1033
1123,EU,Europe,Finland,FIN,2009,1034
1124,EU,Europe,Finland,FIN,2010,954
1125,EU,Europe,Finland,FIN,2011,912
1126,EU,Europe,Finland,FIN,2012,873
1127,EU,Europe,Finland,FIN,2013,887
1128,EU,Europe,Finland,FIN,2014,789
1129,EU,Europe,Finland,FIN,2015,731
1130,EU,Europe,France,FRA,1979,9993
1131,EU,Europe,France,FRA,1980,10406
1132,EU,Europe,France,FRA,1981,10586
1133,EU,Europe,France,FRA,1982,11361
1134,EU,Europe,France,FRA,1983,11914
1135,EU,Europe,France,FRA,1984,12113
1136,EU,Europe,France,FRA,1985,12501
1137,EU,Europe,France,FRA,1986,12529
1138,EU,Europe,France,FRA,1987,12161
1139,EU,Europe,France,FRA,1988,11599
1140,EU,Europe,France,FRA,1989,11715
1141,EU,Europe,France,FRA,1990,11403
1142,EU,Europe,France,FRA,1991,11502
1143,EU,Europe,France,FRA,1992,11644
1144,EU,Europe,France,FRA,1993,12251
1145,EU,Europe,France,FRA,1994,12041
1146,EU,Europe,France,FRA,1995,11819
1147,EU,Europe,France,FRA,1996,11279
1148,EU,Europe,France,FRA,1997,11139
1149,EU,Europe,France,FRA,1998,10534
1150,EU,Europe,France,FRA,1999,10268
1151,EU,Europe,France,FRA,2000,10849
1152,EU,Europe,France,FRA,2001,10449
1153,EU,Europe,France,FRA,2002,10643
1154,EU,Europe,France,FRA,2003,10871
1155,EU,Europe,France,FRA,2004,10804
1156,EU,Europe,France,FRA,2005,10713
1157,EU,Europe,France,FRA,2006,10423
1158,EU,Europe,France,FRA,2007,10127
1159,EU,Europe,France,FRA,2008,10353
1160,EU,Europe,France,FRA,2009,10499
1161,EU,Europe,France,FRA,2010,10379
1162,EU,Europe,France,FRA,2011,10408
1163,EU,Europe,France,FRA,2012,9743
1164,EU,Europe,France,FRA,2013,9600
1165,EU,Europe,France,FRA,2014,8881
1181,AS,Asia,Georgia,GEO,1981,309
1182,AS,Asia,Georgia,GEO,1982,259
1183,AS,Asia,Georgia,GEO,1985,239
1184,AS,Asia,Georgia,GEO,1986,238
1185,AS,Asia,Georgia,GEO,1987,226
1186,AS,Asia,Georgia,GEO,1988,229
1187,AS,Asia,Georgia,GEO,1989,247
1188,AS,Asia,Georgia,GEO,1990,196
1189,AS,Asia,Georgia,GEO,1991,174
1190,AS,Asia,Georgia,GEO,1992,204
1191,AS,Asia,Georgia,GEO,1994,123
1192,AS,Asia,Georgia,GEO,1995,138
1193,AS,Asia,Georgia,GEO,1996,162
1194,AS,Asia,Georgia,GEO,1997,176
1195,AS,Asia,Georgia,GEO,1998,148
1196,AS,Asia,Georgia,GEO,1999,189
1197,AS,Asia,Georgia,GEO,2000,130
1198,AS,Asia,Georgia,GEO,2001,100
1199,AS,Asia,Georgia,GEO,2004,175
1200,AS,Asia,Georgia,GEO,2005,87
1201,AS,Asia,Georgia,GEO,2006,72
1202,AS,Asia,Georgia,GEO,2007,104
1203,AS,Asia,Georgia,GEO,2009,188
1204,AS,Asia,Georgia,GEO,2010,112
1205,AS,Asia,Georgia,GEO,2011,99
1206,AS,Asia,Georgia,GEO,2012,104
1207,AS,Asia,Georgia,GEO,2013,157
1208,AS,Asia,Georgia,GEO,2014,194
1209,AS,Asia,Georgia,GEO,2015,192
1210,EU,Europe,Germany,DEU,1990,13924
1211,EU,Europe,Germany,DEU,1991,14010
1212,EU,Europe,Germany,DEU,1992,13458
1213,EU,Europe,Germany,DEU,1993,12690
1214,EU,Europe,Germany,DEU,1994,12718
1215,EU,Europe,Germany,DEU,1995,12888
1216,EU,Europe,Germany,DEU,1996,12225
1217,EU,Europe,Germany,DEU,1997,12256
1218,EU,Europe,Germany,DEU,1998,11654
1219,EU,Europe,Germany,DEU,1999,11160
1220,EU,Europe,Germany,DEU,2000,11073
1221,EU,Europe,Germany,DEU,2001,11167
1222,EU,Europe,Germany,DEU,2002,11176
1223,EU,Europe,Germany,DEU,2003,11155
1224,EU,Europe,Germany,DEU,2004,10741
1225,EU,Europe,Germany,DEU,2005,10270
1226,EU,Europe,Germany,DEU,2006,9775
1227,EU,Europe,Germany,DEU,2007,9409
1228,EU,Europe,Germany,DEU,2008,9459
1229,EU,Europe,Germany,DEU,2009,9579
1230,EU,Europe,Germany,DEU,2010,10030
1231,EU,Europe,Germany,DEU,2011,10153
1232,EU,Europe,Germany,DEU,2012,9896
1233,EU,Europe,Germany,DEU,2013,10091
1234,EU,Europe,Germany,DEU,2014,10217
1235,EU,Europe,Germany,DEU,2015,10088
1236,EU,Europe,Greece,GRC,1979,277
1237,EU,Europe,Greece,GRC,1980,314
1238,EU,Europe,Greece,GRC,1981,322
1239,EU,Europe,Greece,GRC,1982,347
1240,EU,Europe,Greece,GRC,1983,368
1241,EU,Europe,Greece,GRC,1984,389
1242,EU,Europe,Greece,GRC,1985,405
1243,EU,Europe,Greece,GRC,1986,393
1244,EU,Europe,Greece,GRC,1987,410
1245,EU,Europe,Greece,GRC,1988,403
1246,EU,Europe,Greece,GRC,1989,383
1247,EU,Europe,Greece,GRC,1990,349
1248,EU,Europe,Greece,GRC,1991,381
1249,EU,Europe,Greece,GRC,1992,351
1250,EU,Europe,Greece,GRC,1993,412
1251,EU,Europe,Greece,GRC,1994,355
1252,EU,Europe,Greece,GRC,1995,370
1253,EU,Europe,Greece,GRC,1996,356
1254,EU,Europe,Greece,GRC,1997,374
1255,EU,Europe,Greece,GRC,1998,403
1256,EU,Europe,Greece,GRC,1999,381
1257,EU,Europe,Greece,GRC,2000,382
1258,EU,Europe,Greece,GRC,2001,334
1259,EU,Europe,Greece,GRC,2002,323
1260,EU,Europe,Greece,GRC,2003,375
1261,EU,Europe,Greece,GRC,2004,353
1262,EU,Europe,Greece,GRC,2005,400
1263,EU,Europe,Greece,GRC,2006,394
1264,EU,Europe,Greece,GRC,2007,328
1265,EU,Europe,Greece,GRC,2008,373
1266,EU,Europe,Greece,GRC,2009,391
1267,EU,Europe,Greece,GRC,2010,377
1268,EU,Europe,Greece,GRC,2011,477
1269,EU,Europe,Greece,GRC,2012,508
1270,EU,Europe,Greece,GRC,2013,533
1271,EU,Europe,Greece,GRC,2014,565
1272,EU,Europe,Greece,GRC,2015,529
1273,NA,North America,Grenada,GRD,1985,1
1274,NA,North America,Grenada,GRD,1988,4
1275,NA,North America,Grenada,GRD,1989,4
1276,NA,North America,Grenada,GRD,1990,2
1277,NA,North America,Grenada,GRD,1991,0
1278,NA,North America,Grenada,GRD,1992,0
1279,NA,North America,Grenada,GRD,1993,3
1280,NA,North America,Grenada,GRD,1994,4
1281,NA,North America,Grenada,GRD,1995,1
1282,NA,North America,Grenada,GRD,1996,1
1283,NA,North America,Grenada,GRD,2001,0
1284,NA,North America,Grenada,GRD,2002,0
1285,NA,North America,Grenada,GRD,2003,4
1286,NA,North America,Grenada,GRD,2004,1
1287,NA,North America,Grenada,GRD,2005,6
1288,NA,North America,Grenada,GRD,2006,1
1289,NA,North America,Grenada,GRD,2007,3
1290,NA,North America,Grenada,GRD,2008,0
1291,NA,North America,Grenada,GRD,2009,0
1292,NA,North America,Grenada,GRD,2010,0
1293,NA,North America,Grenada,GRD,2011,1
1294,NA,North America,Grenada,GRD,2012,2
1295,NA,North America,Grenada,GRD,2013,0
1296,NA,North America,Grenada,GRD,2014,0
1297,NA,North America,Grenada,GRD,2015,0
1298,NA,North America,Grenada,GRD,2016,0
1315,NA,North America,Guatemala,GTM,1979,89
1316,NA,North America,Guatemala,GTM,1980,87
1317,NA,North America,Guatemala,GTM,1981,38
1318,NA,North America,Guatemala,GTM,1984,40
1319,NA,North America,Guatemala,GTM,1986,203
1320,NA,North America,Guatemala,GTM,1987,241
1321,NA,North America,Guatemala,GTM,1988,174
1322,NA,North America,Guatemala,GTM,1989,152
1323,NA,North America,Guatemala,GTM,1990,158
1324,NA,North America,Guatemala,GTM,1991,156
1325,NA,North America,Guatemala,GTM,1992,173
1326,NA,North America,Guatemala,GTM,1993,165
1327,NA,North America,Guatemala,GTM,1994,142
1328,NA,North America,Guatemala,GTM,1995,211
1329,NA,North America,Guatemala,GTM,1996,157
1330,NA,North America,Guatemala,GTM,1997,179
1331,NA,North America,Guatemala,GTM,1998,201
1332,NA,North America,Guatemala,GTM,1999,234
1333,NA,North America,Guatemala,GTM,2000,182
1334,NA,North America,Guatemala,GTM,2001,202
1335,NA,North America,Guatemala,GTM,2002,258
1336,NA,North America,Guatemala,GTM,2003,253
1337,NA,North America,Guatemala,GTM,2004,250
1338,NA,North America,Guatemala,GTM,2005,238
1339,NA,North America,Guatemala,GTM,2006,298
1340,NA,North America,Guatemala,GTM,2007,327
1341,NA,North America,Guatemala,GTM,2008,492
1342,NA,North America,Guatemala,GTM,2009,511
1343,NA,North America,Guatemala,GTM,2010,352
1344,NA,North America,Guatemala,GTM,2011,359
1345,NA,North America,Guatemala,GTM,2012,420
1346,NA,North America,Guatemala,GTM,2013,455
1347,NA,North America,Guatemala,GTM,2014,512
1348,NA,North America,Guatemala,GTM,2015,494
1349,SA,South America,Guyana,GUY,1979,0
1350,SA,South America,Guyana,GUY,1984,12
1351,SA,South America,Guyana,GUY,1988,56
1352,SA,South America,Guyana,GUY,1989,94
1353,SA,South America,Guyana,GUY,1990,89
1354,SA,South America,Guyana,GUY,1991,105
1355,SA,South America,Guyana,GUY,1992,78
1356,SA,South America,Guyana,GUY,1993,72
1357,SA,South America,Guyana,GUY,1994,86
1358,SA,South America,Guyana,GUY,1995,99
1359,SA,South America,Guyana,GUY,1996,60
1360,SA,South America,Guyana,GUY,1997,40
1361,SA,South America,Guyana,GUY,1998,35
1362,SA,South America,Guyana,GUY,1999,163
1363,SA,South America,Guyana,GUY,2001,197
1364,SA,South America,Guyana,GUY,2002,176
1365,SA,South America,Guyana,GUY,2003,198
1366,SA,South America,Guyana,GUY,2004,186
1367,SA,South America,Guyana,GUY,2005,169
1368,SA,South America,Guyana,GUY,2006,201
1369,SA,South America,Guyana,GUY,2007,185
1370,SA,South America,Guyana,GUY,2008,168
1371,SA,South America,Guyana,GUY,2009,156
1372,SA,South America,Guyana,GUY,2010,205
1373,SA,South America,Guyana,GUY,2011,192
1374,SA,South America,Guyana,GUY,2012,206
1375,SA,South America,Guyana,GUY,2013,210
1376,NA,North America,Haiti,HTI,1980,0
1377,NA,North America,Haiti,HTI,1997,1
1378,NA,North America,Haiti,HTI,1999,5
1379,NA,North America,Haiti,HTI,2001,16
1380,NA,North America,Haiti,HTI,2002,4
1381,NA,North America,Haiti,HTI,2003,1
1382,NA,North America,Haiti,HTI,2004,1
1383,NA,North America,Honduras,HND,1987,134
1384,NA,North America,Honduras,HND,1988,131
1385,NA,North America,Honduras,HND,1989,92
1386,NA,North America,Honduras,HND,1990,158
1387,NA,North America,Honduras,HND,2008,37
1388,NA,North America,Honduras,HND,2009,92
1389,NA,North America,Honduras,HND,2010,111
1390,NA,North America,Honduras,HND,2011,112
1391,NA,North America,Honduras,HND,2012,111
1392,NA,North America,Honduras,HND,2013,94
1393,AS,Asia,Hong Kong SAR,HKG,1979,661
1394,AS,Asia,Hong Kong SAR,HKG,1980,682
1395,AS,Asia,Hong Kong SAR,HKG,1981,517
1396,AS,Asia,Hong Kong SAR,HKG,1982,448
1397,AS,Asia,Hong Kong SAR,HKG,1983,458
1398,AS,Asia,Hong Kong SAR,HKG,1984,497
1399,AS,Asia,Hong Kong SAR,HKG,1985,714
1400,AS,Asia,Hong Kong SAR,HKG,1986,675
1401,AS,Asia,Hong Kong SAR,HKG,1987,619
1402,AS,Asia,Hong Kong SAR,HKG,1988,579
1403,AS,Asia,Hong Kong SAR,HKG,1989,604
1404,AS,Asia,Hong Kong SAR,HKG,1990,677
1405,AS,Asia,Hong Kong SAR,HKG,1991,748
1406,AS,Asia,Hong Kong SAR,HKG,1992,732
1407,AS,Asia,Hong Kong SAR,HKG,1993,609
1408,AS,Asia,Hong Kong SAR,HKG,1994,751
1409,AS,Asia,Hong Kong SAR,HKG,1995,723
1410,AS,Asia,Hong Kong SAR,HKG,1996,780
1411,AS,Asia,Hong Kong SAR,HKG,1997,641
1412,AS,Asia,Hong Kong SAR,HKG,1998,846
1413,AS,Asia,Hong Kong SAR,HKG,1999,869
1414,AS,Asia,Hong Kong SAR,HKG,2000,890
1415,AS,Asia,Hong Kong SAR,HKG,2001,997
1416,AS,Asia,Hong Kong SAR,HKG,2002,1040
1417,AS,Asia,Hong Kong SAR,HKG,2003,1101
1418,AS,Asia,Hong Kong SAR,HKG,2004,1272
1419,AS,Asia,Hong Kong SAR,HKG,2005,1143
1420,AS,Asia,Hong Kong SAR,HKG,2006,1041
1421,AS,Asia,Hong Kong SAR,HKG,2007,918
1422,AS,Asia,Hong Kong SAR,HKG,2008,877
1423,AS,Asia,Hong Kong SAR,HKG,2009,1024
1424,AS,Asia,Hong Kong SAR,HKG,2010,1007
1425,AS,Asia,Hong Kong SAR,HKG,2011,816
1426,AS,Asia,Hong Kong SAR,HKG,2012,822
1427,AS,Asia,Hong Kong SAR,HKG,2013,997
1428,AS,Asia,Hong Kong SAR,HKG,2014,926
1429,AS,Asia,Hong Kong SAR,HKG,2015,990
1430,EU,Europe,Hungary,HUN,1979,4767
1431,EU,Europe,Hungary,HUN,1980,4797
1432,EU,Europe,Hungary,HUN,1981,4871
1433,EU,Europe,Hungary,HUN,1982,4655
1434,EU,Europe,Hungary,HUN,1983,4906
1435,EU,Europe,Hungary,HUN,1984,4900
1436,EU,Europe,Hungary,HUN,1985,4725
1437,EU,Europe,Hungary,HUN,1986,4817
1438,EU,Europe,Hungary,HUN,1987,4782
1439,EU,Europe,Hungary,HUN,1988,4377
1440,EU,Europe,Hungary,HUN,1989,4396
1441,EU,Europe,Hungary,HUN,1990,4133
1442,EU,Europe,Hungary,HUN,1991,3993
1443,EU,Europe,Hungary,HUN,1992,4000
1444,EU,Europe,Hungary,HUN,1993,3694
1445,EU,Europe,Hungary,HUN,1994,3625
1446,EU,Europe,Hungary,HUN,1995,3366
1447,EU,Europe,Hungary,HUN,1996,3436
1448,EU,Europe,Hungary,HUN,1997,3208
1449,EU,Europe,Hungary,HUN,1998,3245
1450,EU,Europe,Hungary,HUN,1999,3326
1451,EU,Europe,Hungary,HUN,2000,3269
1452,EU,Europe,Hungary,HUN,2001,2978
1453,EU,Europe,Hungary,HUN,2002,2839
1454,EU,Europe,Hungary,HUN,2003,2800
1455,EU,Europe,Hungary,HUN,2004,2742
1456,EU,Europe,Hungary,HUN,2005,2619
1457,EU,Europe,Hungary,HUN,2006,2461
1458,EU,Europe,Hungary,HUN,2007,2450
1459,EU,Europe,Hungary,HUN,2008,2476
1460,EU,Europe,Hungary,HUN,2009,2460
1461,EU,Europe,Hungary,HUN,2010,2489
1462,EU,Europe,Hungary,HUN,2011,2420
1463,EU,Europe,Hungary,HUN,2012,2349
1464,EU,Europe,Hungary,HUN,2013,2092
1465,EU,Europe,Hungary,HUN,2014,1925
1466,EU,Europe,Hungary,HUN,2015,1868
1467,EU,Europe,Hungary,HUN,2016,1762
1468,EU,Europe,Iceland,ISL,1981,16
1469,EU,Europe,Iceland,ISL,1982,22
1470,EU,Europe,Iceland,ISL,1983,40
1471,EU,Europe,Iceland,ISL,1984,44
1472,EU,Europe,Iceland,ISL,1985,32
1473,EU,Europe,Iceland,ISL,1986,37
1474,EU,Europe,Iceland,ISL,1987,36
1475,EU,Europe,Iceland,ISL,1988,35
1476,EU,Europe,Iceland,ISL,1989,22
1477,EU,Europe,Iceland,ISL,1990,40
1478,EU,Europe,Iceland,ISL,1991,37
1479,EU,Europe,Iceland,ISL,1992,28
1480,EU,Europe,Iceland,ISL,1993,26
1481,EU,Europe,Iceland,ISL,1994,25
1482,EU,Europe,Iceland,ISL,1995,27
1483,EU,Europe,Iceland,ISL,1996,33
1484,EU,Europe,Iceland,ISL,1997,33
1485,EU,Europe,Iceland,ISL,1998,30
1486,EU,Europe,Iceland,ISL,1999,31
1487,EU,Europe,Iceland,ISL,2000,50
1488,EU,Europe,Iceland,ISL,2001,36
1489,EU,Europe,Iceland,ISL,2002,30
1490,EU,Europe,Iceland,ISL,2003,26
1491,EU,Europe,Iceland,ISL,2004,35
1492,EU,Europe,Iceland,ISL,2005,33
1493,EU,Europe,Iceland,ISL,2006,32
1494,EU,Europe,Iceland,ISL,2007,37
1495,EU,Europe,Iceland,ISL,2008,38
1496,EU,Europe,Iceland,ISL,2009,36
1497,EU,Europe,Iceland,ISL,2010,46
1498,EU,Europe,Iceland,ISL,2011,27
1499,EU,Europe,Iceland,ISL,2012,37
1500,EU,Europe,Iceland,ISL,2013,49
1501,EU,Europe,Iceland,ISL,2014,44
1502,EU,Europe,Iceland,ISL,2015,40
1503,EU,Europe,Iceland,ISL,2016,40
1504,AS,Asia,"Iran, Islamic Rep.",IRN,2013,2442
1505,AS,Asia,"Iran, Islamic Rep.",IRN,2014,2485
1506,AS,Asia,"Iran, Islamic Rep.",IRN,2015,2372
1507,AS,Asia,Iraq,IRQ,2008,3
1508,EU,Europe,Ireland,IRL,1979,193
1509,EU,Europe,Ireland,IRL,1980,215
1510,EU,Europe,Ireland,IRL,1981,223
1511,EU,Europe,Ireland,IRL,1982,241
1512,EU,Europe,Ireland,IRL,1983,282
1513,EU,Europe,Ireland,IRL,1984,232
1514,EU,Europe,Ireland,IRL,1985,276
1515,EU,Europe,Ireland,IRL,1986,282
1516,EU,Europe,Ireland,IRL,1987,245
1517,EU,Europe,Ireland,IRL,1988,266
1518,EU,Europe,Ireland,IRL,1989,278
1519,EU,Europe,Ireland,IRL,1990,334
1520,EU,Europe,Ireland,IRL,1991,345
1521,EU,Europe,Ireland,IRL,1992,362
1522,EU,Europe,Ireland,IRL,1993,326
1523,EU,Europe,Ireland,IRL,1994,394
1524,EU,Europe,Ireland,IRL,1995,403
